control_id,layer,context,metric,expected,actual,difference,tolerance,status,source
STRUCT-001,datos,global,celdas_cohorte_horizonte,120,120,0,0,PASS,seguimiento_*.csv.gz
ORDER-2011-8,invariantes,cohorte=2011;horizonte=8,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-9-Base,medidas,cohorte=2011;horizonte=9,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-9-Carrera,medidas,cohorte=2011;horizonte=9,Carrera,17,17,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-9-Institucion,medidas,cohorte=2011;horizonte=9,Institucion,54,54,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-9-EducacionSuperior,medidas,cohorte=2011;horizonte=9,EducacionSuperior,472,472,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-9,invariantes,cohorte=2011;horizonte=9,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-10-Base,medidas,cohorte=2011;horizonte=10,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-10-Carrera,medidas,cohorte=2011;horizonte=10,Carrera,12,12,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-10-Institucion,medidas,cohorte=2011;horizonte=10,Institucion,49,49,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-10-EducacionSuperior,medidas,cohorte=2011;horizonte=10,EducacionSuperior,413,413,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-10,invariantes,cohorte=2011;horizonte=10,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-11-Base,medidas,cohorte=2011;horizonte=11,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-11-Carrera,medidas,cohorte=2011;horizonte=11,Carrera,7,7,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-11-Institucion,medidas,cohorte=2011;horizonte=11,Institucion,38,38,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-11-EducacionSuperior,medidas,cohorte=2011;horizonte=11,EducacionSuperior,441,441,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-11,invariantes,cohorte=2011;horizonte=11,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-12-Base,medidas,cohorte=2011;horizonte=12,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-12-Carrera,medidas,cohorte=2011;horizonte=12,Carrera,8,8,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-12-Institucion,medidas,cohorte=2011;horizonte=12,Institucion,45,45,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-12-EducacionSuperior,medidas,cohorte=2011;horizonte=12,EducacionSuperior,436,436,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-12,invariantes,cohorte=2011;horizonte=12,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-13-Base,medidas,cohorte=2011;horizonte=13,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-13-Carrera,medidas,cohorte=2011;horizonte=13,Carrera,4,4,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-13-Institucion,medidas,cohorte=2011;horizonte=13,Institucion,38,38,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-13-EducacionSuperior,medidas,cohorte=2011;horizonte=13,EducacionSuperior,409,409,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-13,invariantes,cohorte=2011;horizonte=13,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-14-Base,medidas,cohorte=2011;horizonte=14,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-14-Carrera,medidas,cohorte=2011;horizonte=14,Carrera,2,2,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-14-Institucion,medidas,cohorte=2011;horizonte=14,Institucion,30,30,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-14-EducacionSuperior,medidas,cohorte=2011;horizonte=14,EducacionSuperior,359,359,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-14,invariantes,cohorte=2011;horizonte=14,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-15-Base,medidas,cohorte=2011;horizonte=15,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-15-Carrera,medidas,cohorte=2011;horizonte=15,Carrera,1,1,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-15-Institucion,medidas,cohorte=2011;horizonte=15,Institucion,22,22,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-15-EducacionSuperior,medidas,cohorte=2011;horizonte=15,EducacionSuperior,356,356,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-15,invariantes,cohorte=2011;horizonte=15,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-1-Base,medidas,cohorte=2012;horizonte=1,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-1-Carrera,medidas,cohorte=2012;horizonte=1,Carrera,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-1-Institucion,medidas,cohorte=2012;horizonte=1,Institucion,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-1-EducacionSuperior,medidas,cohorte=2012;horizonte=1,EducacionSuperior,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-1,invariantes,cohorte=2012;horizonte=1,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-2-Base,medidas,cohorte=2012;horizonte=2,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-2-Carrera,medidas,cohorte=2012;horizonte=2,Carrera,2805,2805,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-2-Institucion,medidas,cohorte=2012;horizonte=2,Institucion,3233,3233,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-2-EducacionSuperior,medidas,cohorte=2012;horizonte=2,EducacionSuperior,3524,3524,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-2,invariantes,cohorte=2012;horizonte=2,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2012-3-Base,medidas,cohorte=2012;horizonte=3,Base,5183,5183,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-3-Carrera,medidas,cohorte=2012;horizonte=3,Carrera,2225,2225,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-3-Institucion,medidas,cohorte=2012;horizonte=3,Institucion,2661,2661,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2012-3-EducacionSuperior,medidas,cohorte=2012;horizonte=3,EducacionSuperior,3172,3172,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2012-3,invariantes,cohorte=2012;horizonte=3,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
